Name,sample_size,power
Geometric mean (lx),3,1
Geometric mean (lx),4,1
Geometric mean (lx),5,1
Geometric mean (lx),6,1
Geometric mean (lx),7,1
Geometric mean (lx),8,1
Geometric mean (lx),9,1
Geometric mean (lx),10,1
Geometric mean (lx),11,1
Geometric mean (lx),12,1
Geometric mean (lx),13,1
Geometric mean (lx),14,1
Geometric mean (lx),15,1
Geometric mean (lx),16,1
Geometric mean (lx),17,1
Geometric mean (lx),18,1
Geometric mean (lx),19,1
Geometric mean (lx),20,1
Geometric mean (lx),21,1
Geometric mean (lx),22,1
Geometric mean (lx),23,1
Geometric mean (lx),24,1
Geometric mean (lx),25,1
Geometric mean (lx),26,1
Geometric mean (lx),27,1
Geometric mean (lx),28,1
Geometric mean (lx),29,1
Geometric mean (lx),30,1
Geometric mean (lx),31,1
Geometric mean (lx),32,1
Geometric mean (lx),33,1
Geometric mean (lx),34,1
Geometric mean (lx),35,1
Geometric mean (lx),36,1
Geometric mean (lx),37,1
Geometric mean (lx),38,1
Geometric mean (lx),39,1
Geometric mean (lx),40,1
Geometric mean (lx),41,1
Geometric mean (lx),42,1
Geometric mean (lx),43,1
Geometric mean (lx),44,1
Geometric mean (lx),45,1
Geometric mean (lx),46,1
Geometric mean (lx),47,1
Geometric mean (lx),48,1
Geometric mean (lx),49,1
Geometric mean (lx),50,1
Geometric sd (lx),3,0.7
Geometric sd (lx),4,0.6
Geometric sd (lx),5,0.6
Geometric sd (lx),6,0.4
Geometric sd (lx),7,0.2
Geometric sd (lx),8,0.5
Geometric sd (lx),9,0.3
Geometric sd (lx),10,0.3
Geometric sd (lx),11,0.5
Geometric sd (lx),12,0.6
Geometric sd (lx),13,0.5
Geometric sd (lx),14,0.4
Geometric sd (lx),15,0.6
Geometric sd (lx),16,0.5
Geometric sd (lx),17,0.6
Geometric sd (lx),18,0.5
Geometric sd (lx),19,0.8
Geometric sd (lx),20,0.4
Geometric sd (lx),21,0.2
Geometric sd (lx),22,0.5
Geometric sd (lx),23,0.6
Geometric sd (lx),24,0.5
Geometric sd (lx),25,0.6
Geometric sd (lx),26,0.4
Geometric sd (lx),27,0.5
Geometric sd (lx),28,0.5
Geometric sd (lx),29,0.6
Geometric sd (lx),30,0.7
Geometric sd (lx),31,0.5
Geometric sd (lx),32,0.8
Geometric sd (lx),33,0.9
Geometric sd (lx),34,0.6
Geometric sd (lx),35,0.4
Geometric sd (lx),36,0.7
Geometric sd (lx),37,0.9
Geometric sd (lx),38,0.6
